Ticker,Year_Int,Year,Installed_Capacity_MW,License_Issue_Year,License_Term_Years,PPA_Tariff_Wet,PPA_Tariff_Dry,PLF
JOSHI,2023,2023/24,3.0,2070.0,35.0,4.8,8.4,0.1122161276002029
JOSHI,2024,2024/25,3.0,2070.0,35.0,4.8,8.4,0.1614429223744292
BEDC,2023,2023/24,3.75,2071.0,35.0,4.8,8.4,0.2545432470826991
BEDC,2024,2024/25,3.75,2071.0,35.0,4.8,8.4,0.2728275494672755
RAWA,2024,2024/25,3.0,2073.0,35.0,4.8,8.4,0.6136155568239472
HPPL,2016,2016/17,27.0,2068.0,35.0,4.8,8.4,0.0
HPPL,2017,2017/18,27.0,2068.0,35.0,4.8,8.4,0.0
HPPL,2018,2018/19,27.0,2068.0,35.0,4.8,8.4,0.0
HPPL,2019,2019/20,27.0,2068.0,35.0,4.8,8.4,0.0
HPPL,2020,2020/21,27.0,2068.0,35.0,4.8,8.4,0.0
HPPL,2021,2021/22,27.0,2068.0,35.0,4.8,8.4,0.0
HPPL,2022,2022/23,27.0,2068.0,35.0,4.8,8.4,0.2497133406618185
HPPL,2023,2023/24,27.0,2068.0,35.0,4.8,8.4,0.363648258075427
HPPL,2024,2024/25,27.0,2068.0,35.0,4.8,8.4,0.5244041180449857
SJCL,2018,2018/19,14.8,2069.0,36.0,4.8,8.4,0.0
SJCL,2019,2019/20,14.8,2069.0,36.0,4.8,8.4,0.0
SJCL,2020,2020/21,14.8,2069.0,36.0,4.8,8.4,0.0
SJCL,2021,2021/22,14.8,2069.0,36.0,4.8,8.4,0.0
SJCL,2022,2022/23,14.8,2069.0,36.0,4.8,8.4,0.0
SJCL,2023,2023/24,14.8,2069.0,36.0,4.8,8.4,0.2543638544366284
SJCL,2024,2024/25,14.8,2069.0,36.0,4.8,8.4,1.0
BPCL,2011,2011/12,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2012,2012/13,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2013,2013/14,9.4,2052.0,49.0,4.8,8.4,0.8051758618316656
BPCL,2014,2014/15,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2015,2015/16,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2016,2016/17,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2017,2017/18,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2018,2018/19,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2019,2019/20,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2020,2020/21,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2021,2021/22,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2022,2022/23,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2023,2023/24,9.4,2052.0,49.0,4.8,8.4,1.0
BPCL,2024,2024/25,9.4,2052.0,49.0,4.8,8.4,1.0
SHPC,2014,2014/15,22.0,2067.0,35.0,4.8,8.4,0.0703099868548498
SHPC,2015,2015/16,22.0,2067.0,35.0,4.8,8.4,0.3478702136951709
SHPC,2016,2016/17,22.0,2067.0,35.0,4.8,8.4,0.6876350311332502
SHPC,2017,2017/18,22.0,2067.0,35.0,4.8,8.4,0.6829247422858724
SHPC,2018,2018/19,22.0,2067.0,35.0,4.8,8.4,0.6270604858516674
SHPC,2019,2019/20,22.0,2067.0,35.0,4.8,8.4,0.7444167799571053
SHPC,2020,2020/21,22.0,2067.0,35.0,4.8,8.4,0.7353582996056455
SHPC,2021,2021/22,22.0,2067.0,35.0,4.8,8.4,0.8086226944098519
SHPC,2022,2022/23,22.0,2067.0,35.0,4.8,8.4,0.660320448491767
SHPC,2023,2023/24,22.0,2067.0,35.0,4.8,8.4,0.6565521118721461
SHPC,2024,2024/25,22.0,2067.0,35.0,4.8,8.4,0.5922255941261935
SMH,2023,2023/24,7.8,2073.0,35.0,4.8,8.4,0.5356888732779144
SMH,2024,2024/25,7.8,2073.0,35.0,4.8,8.4,0.4846677789486008
SMJC,2023,2023/24,9.6,2074.0,36.0,4.8,8.4,0.4980732492231101
SMJC,2024,2024/25,9.6,2074.0,36.0,4.8,8.4,0.4606486455955099
GVL,2021,2021/22,52.4,2068.0,30.0,4.8,8.4,0.3422329881807197
GVL,2022,2022/23,52.4,2068.0,30.0,4.8,8.4,0.5607967629869752
GVL,2023,2023/24,52.4,2068.0,30.0,4.8,8.4,0.52230142287404
GVL,2024,2024/25,52.4,2068.0,30.0,4.8,8.4,0.585896735610048
MKHC,2023,2023/24,14.9,2071.0,35.0,4.8,8.4,0.1433337930189084
MKHC,2024,2024/25,14.9,2071.0,35.0,4.8,8.4,0.3792073999162351
MCHL,2023,2023/24,,,,4.8,8.4,
MCHL,2024,2024/25,,,,4.8,8.4,
SSHL,2021,2021/22,22.2,2068.0,35.0,4.8,8.4,0.2131350845708722
SSHL,2022,2022/23,22.2,2068.0,35.0,4.8,8.4,0.3016941136341821
SSHL,2023,2023/24,22.2,2068.0,35.0,4.8,8.4,0.2742096540033183
SSHL,2024,2024/25,22.2,2068.0,35.0,4.8,8.4,0.3399990427070906
AHPC,2011,2011/12,3.0,2057.0,40.0,4.8,8.4,0.4600722331303906
AHPC,2012,2012/13,3.0,2057.0,40.0,4.8,8.4,0.444562385971588
AHPC,2013,2013/14,3.0,2057.0,40.0,4.8,8.4,0.4362031901319128
AHPC,2014,2014/15,3.0,2057.0,40.0,4.8,8.4,0.4092031712962963
AHPC,2015,2015/16,3.0,2057.0,40.0,4.8,8.4,0.4195880065956368
AHPC,2016,2016/17,3.0,2057.0,40.0,4.8,8.4,0.3273671423135464
AHPC,2017,2017/18,3.0,2057.0,40.0,4.8,8.4,0.330160806697108
AHPC,2018,2018/19,3.0,2057.0,40.0,4.8,8.4,0.3486370433789954
AHPC,2019,2019/20,3.0,2057.0,40.0,4.8,8.4,0.4389992516489092
AHPC,2020,2020/21,3.0,2057.0,40.0,4.8,8.4,0.3388380517503805
AHPC,2021,2021/22,3.0,2057.0,40.0,4.8,8.4,0.8821566146626079
AHPC,2022,2022/23,3.0,2057.0,40.0,4.8,8.4,1.0
AHPC,2023,2023/24,3.0,2057.0,40.0,4.8,8.4,0.698956202435312
AHPC,2024,2024/25,3.0,2057.0,40.0,4.8,8.4,1.0
PHCL,2023,2023/24,54.0,2070.0,36.0,4.8,8.4,0.2353617713794464
PHCL,2024,2024/25,54.0,2070.0,36.0,4.8,8.4,0.3436760975111336
TPC,2021,2021/22,7.5,2073.0,33.0,4.8,8.4,0.362241435819381
TPC,2022,2022/23,7.5,2073.0,33.0,4.8,8.4,0.3085917503805175
TPC,2023,2023/24,7.5,2073.0,33.0,4.8,8.4,0.3292020776255708
TPC,2024,2024/25,7.5,2073.0,33.0,4.8,8.4,0.3935049797057331
PPCL,2019,2019/20,,,,4.8,8.4,
PPCL,2020,2020/21,,,,4.8,8.4,
PPCL,2021,2021/22,,,,4.8,8.4,
PPCL,2022,2022/23,,,,4.8,8.4,
PPCL,2023,2023/24,,,,4.8,8.4,
PPCL,2024,2024/25,,,,4.8,8.4,
MMKJL,2023,2023/24,,,,4.8,8.4,
MMKJL,2024,2024/25,,,,4.8,8.4,
TVCL,2024,2024/25,5.0,2074.0,35.0,4.8,8.4,0.0
HHL,2021,2021/22,12.0,2069.0,35.0,4.8,8.4,0.1505581700279046
HHL,2022,2022/23,12.0,2069.0,35.0,4.8,8.4,0.4644274543378995
HHL,2023,2023/24,12.0,2069.0,35.0,4.8,8.4,0.4944651049594115
HHL,2024,2024/25,12.0,2069.0,35.0,4.8,8.4,0.5303421581684424
PPL,2023,2023/24,54.0,2070.0,36.0,4.8,8.4,0.0379784655279328
PPL,2024,2024/25,54.0,2070.0,36.0,4.8,8.4,0.0339418090083995
NGPL,2013,2013/14,5.0,2066.0,35.0,4.8,8.4,0.4055631659056317
NGPL,2014,2014/15,5.0,2066.0,35.0,4.8,8.4,0.6848059360730594
NGPL,2015,2015/16,5.0,2066.0,35.0,4.8,8.4,0.5188372754946727
NGPL,2016,2016/17,5.0,2066.0,35.0,4.8,8.4,0.5320860159817351
NGPL,2017,2017/18,5.0,2066.0,35.0,4.8,8.4,0.5343958561643836
NGPL,2018,2018/19,5.0,2066.0,35.0,4.8,8.4,0.5469956659056316
NGPL,2019,2019/20,5.0,2066.0,35.0,4.8,8.4,0.5197253614916286
NGPL,2020,2020/21,5.0,2066.0,35.0,4.8,8.4,0.3361290905631659
NGPL,2021,2021/22,5.0,2066.0,35.0,4.8,8.4,0.4855265182648401
NGPL,2022,2022/23,5.0,2066.0,35.0,4.8,8.4,0.4699758942161339
NGPL,2023,2023/24,5.0,2066.0,35.0,4.8,8.4,0.4612704946727549
NGPL,2024,2024/25,5.0,2066.0,35.0,4.8,8.4,0.4373987252663622
UPPER,2017,2017/18,456.0,2067.0,36.0,4.8,8.4,0.0
UPPER,2018,2018/19,456.0,2067.0,36.0,4.8,8.4,0.0
UPPER,2019,2019/20,456.0,2067.0,36.0,4.8,8.4,0.0
UPPER,2020,2020/21,456.0,2067.0,36.0,4.8,8.4,0.0
UPPER,2021,2021/22,456.0,2067.0,36.0,4.8,8.4,0.296936511864469
UPPER,2022,2022/23,456.0,2067.0,36.0,4.8,8.4,0.3391311789450319
UPPER,2023,2023/24,456.0,2067.0,36.0,4.8,8.4,0.365167124789714
UPPER,2024,2024/25,456.0,2067.0,36.0,4.8,8.4,0.2888879504876632
BNHC,2020,2020/21,4.993,2069.0,35.0,4.8,8.4,0.0
BNHC,2021,2021/22,4.993,2069.0,35.0,4.8,8.4,0.0518798829777213
BNHC,2022,2022/23,4.993,2069.0,35.0,4.8,8.4,0.6267727222982801
BNHC,2023,2023/24,4.993,2069.0,35.0,4.8,8.4,0.5672266172641698
BNHC,2024,2024/25,4.993,2069.0,35.0,4.8,8.4,0.5478811736735845
BHDC,2020,2020/21,6.6,2074.0,35.0,4.8,8.4,0.6393760844748859
BHDC,2021,2021/22,6.6,2074.0,35.0,4.8,8.4,1.0
BHDC,2022,2022/23,6.6,2074.0,35.0,4.8,8.4,0.821591831557585
BHDC,2023,2023/24,6.6,2074.0,35.0,4.8,8.4,1.0
BHDC,2024,2024/25,6.6,2074.0,35.0,4.8,8.4,1.0
USHEC,2021,2021/22,23.5,2070.0,35.0,4.8,8.4,0.2988570743871239
USHEC,2022,2022/23,23.5,2070.0,35.0,4.8,8.4,0.5407150182972247
USHEC,2023,2023/24,23.5,2070.0,35.0,4.8,8.4,0.5465041427831212
USHEC,2024,2024/25,23.5,2070.0,35.0,4.8,8.4,0.5862023851160983
RHGCL,2023,2023/24,5.0,2072.0,36.0,4.8,8.4,0.4102857191780822
RHGCL,2024,2024/25,5.0,2072.0,36.0,4.8,8.4,0.3820857876712328
MHCL,2023,2023/24,7.0,2071.0,35.0,4.8,8.4,0.4419128614916286
MHCL,2024,2024/25,7.0,2071.0,35.0,4.8,8.4,0.437973752446184
UPCL,2017,2017/18,11.0,2069.0,36.0,4.8,8.4,0.0
UPCL,2018,2018/19,11.0,2069.0,36.0,4.8,8.4,0.0
UPCL,2019,2019/20,11.0,2069.0,36.0,4.8,8.4,0.0
UPCL,2020,2020/21,11.0,2069.0,36.0,4.8,8.4,0.0
UPCL,2021,2021/22,11.0,2069.0,36.0,4.8,8.4,0.2375731849315068
UPCL,2022,2022/23,11.0,2069.0,36.0,4.8,8.4,0.5961170138024077
UPCL,2023,2023/24,11.0,2069.0,36.0,4.8,8.4,0.5556818873668189
UPCL,2024,2024/25,11.0,2069.0,36.0,4.8,8.4,0.5843065327936904
SGHC,2021,2021/22,28.1,2072.0,36.0,4.8,8.4,0.0
SGHC,2022,2022/23,28.1,2072.0,36.0,4.8,8.4,0.2956918925396903
SGHC,2023,2023/24,28.1,2072.0,36.0,4.8,8.4,0.5059128675853253
SGHC,2024,2024/25,28.1,2072.0,36.0,4.8,8.4,0.532609814507873
MKJC,2022,2022/23,7.0,2066.0,35.0,4.8,8.4,0.2932232632093933
MKJC,2023,2023/24,7.0,2066.0,35.0,4.8,8.4,0.2605758616003479
MKJC,2024,2024/25,7.0,2066.0,35.0,4.8,8.4,0.2424529517286366
CKHL,2024,2024/25,4.7,2073.0,35.0,4.8,8.4,0.479545577091227
KKHC,2016,2016/17,4.36,2069.0,35.0,4.8,8.4,0.1541175611446245
KKHC,2017,2017/18,4.36,2069.0,35.0,4.8,8.4,0.300784904626255
KKHC,2018,2018/19,4.36,2069.0,35.0,4.8,8.4,0.2729961738790443
KKHC,2019,2019/20,4.36,2069.0,35.0,4.8,8.4,0.2219637156050577
KKHC,2020,2020/21,4.36,2069.0,35.0,4.8,8.4,1.0
KKHC,2021,2021/22,4.36,2069.0,35.0,4.8,8.4,0.6832923622456817
KKHC,2022,2022/23,4.36,2069.0,35.0,4.8,8.4,0.6146541698085544
KKHC,2023,2023/24,4.36,2069.0,35.0,4.8,8.4,0.5748995512337146
KKHC,2024,2024/25,4.36,2069.0,35.0,4.8,8.4,0.2445586695153114
AKJCL,2018,2018/19,7.0,2066.0,35.0,4.8,8.4,0.5557477299412916
AKJCL,2019,2019/20,7.0,2066.0,35.0,4.8,8.4,0.615000399543379
AKJCL,2020,2020/21,7.0,2066.0,35.0,4.8,8.4,0.5261419656447054
AKJCL,2021,2021/22,7.0,2066.0,35.0,4.8,8.4,0.6060613557295064
